wms_name,wms_link,cloudcover,coordinate,date,ftp_url,coordinate_str,file_name
20220712_110839_SV1-04,https://tiles1.geoserve.eu/SuperView1/tileserver/20220712_110839_SV1-04_SV_RD_8bit_RGB_50cm_Vosdonk/wmts,0.0,"[4.607651695143391, 51.57255761854234]",2022-07-12,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_07/20220712/20220712_110839_SV1-04_SV_RD_8bit_RGB_50cm_Vosdonk.zip,"[4.607651695143391, 51.57255761854234]",20220712_110839_SV1-04_SV_RD_8bit_RGB_50cm_Vosdonk
20220711_103408_SV1-01,https://tiles1.geoserve.eu/SuperView1/tileserver/20220711_103408_SV1-01_SV_RD_8bit_RGB_50cm_Middelburg/wmts,0.0,"[3.648588933596003, 51.48795457442569]",2022-07-11,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_07/20220711/20220711_103408_SV1-01_SV_RD_8bit_RGB_50cm_Middelburg.zip,"[3.648588933596003, 51.48795457442569]",20220711_103408_SV1-01_SV_RD_8bit_RGB_50cm_Middelburg
20220623_103209_SV1-01,https://tiles1.geoserve.eu/SuperView1/tileserver/20220623_103209_SV1-01_SV_RD_8bit_RGB_50cm_Amsterdam/wmts,0.0,"[4.848042328815158, 52.4025851260491]",2022-06-23,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_06/20220623/20220623_103209_SV1-01_SV_RD_8bit_RGB_50cm_Amsterdam.zip,"[4.848042328815158, 52.4025851260491]",20220623_103209_SV1-01_SV_RD_8bit_RGB_50cm_Amsterda
20220623_103209_SV1-01,https://tiles1.geoserve.eu/SuperView1/tileserver/20220623_103209_SV1-01_SV_RD_8bit_RGB_50cm_Amsterdam/wmts,0.0,"[4.903005596639753, 52.40141439121189]",2022-06-23,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_06/20220623/20220623_103209_SV1-01_SV_RD_8bit_RGB_50cm_Amsterdam.zip,"[4.903005596639753, 52.40141439121189]",20220623_103209_SV1-01_SV_RD_8bit_RGB_50cm_Amsterda
20220623_103210_SV1-01,https://tiles1.geoserve.eu/SuperView1/tileserver/20220623_103210_SV1-01_SV_RD_8bit_RGB_50cm_Schiphol/wmts,0.0,"[4.841592997495607, 52.30562669715603]",2022-06-23,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_06/20220623/20220623_103210_SV1-01_SV_RD_8bit_RGB_50cm_Schiphol.zip,"[4.841592997495607, 52.30562669715603]",20220623_103210_SV1-01_SV_RD_8bit_RGB_50cm_Schiphol
20220509_113001_SV1-02,https://tiles1.geoserve.eu/SuperView1/tileserver/20220509_113001_SV1-02_SV_RD_8bit_RGB_50cm_Emmeloord/wmts,0.0,"[5.90254380429981, 52.74813302319498]",2022-05-09,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_05/20220509/20220509_113001_SV1-02_SV_RD_8bit_RGB_50cm_Emmeloord.zip,"[5.90254380429981, 52.74813302319498]",20220509_113001_SV1-02_SV_RD_8bit_RGB_50cm_Emmeloord
20220509_104756_SV1-03,https://tiles1.geoserve.eu/SuperView1/tileserver/20220509_104756_SV1-03_SV_RD_8bit_RGB_50cm_Winterswijk/wmts,0.0,"[6.576786219703862, 51.946779658658826]",2022-05-09,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_05/20220509/20220509_104756_SV1-03_SV_RD_8bit_RGB_50cm_Winterswijk.zip,"[6.576786219703862, 51.946779658658826]",20220509_104756_SV1-03_SV_RD_8bit_RGB_50cm_Winterswijk
20220509_104756_SV1-03,https://tiles1.geoserve.eu/SuperView1/tileserver/20220509_104756_SV1-03_SV_RD_8bit_RGB_50cm_Winterswijk/wmts,0.0,"[6.701472730071181, 51.97422864711201]",2022-05-09,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_05/20220509/20220509_104756_SV1-03_SV_RD_8bit_RGB_50cm_Winterswijk.zip,"[6.701472730071181, 51.97422864711201]",20220509_104756_SV1-03_SV_RD_8bit_RGB_50cm_Winterswijk
20220424_105506_SV1-04,https://tiles1.geoserve.eu/SuperView1/tileserver/20220424_105506_SV1-04_SV_RD_8bit_RGB_50cm_Veluwe/wmts,0.0,"[5.968954674835454, 52.20083331712506]",2022-04-24,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_04/20220424/20220424_105506_SV1-04_SV_RD_8bit_RGB_50cm_Veluwe.zip,"[5.968954674835454, 52.20083331712506]",20220424_105506_SV1-04_SV_RD_8bit_RGB_50cm_Veluwe
20220424_105511_SV1-04,https://tiles1.geoserve.eu/SuperView1/tileserver/20220424_105511_SV1-04_SV_RD_8bit_RGB_50cm_Beuningen/wmts,0.0,"[5.835949262477843, 51.85786305072515]",2022-04-24,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_04/20220424/20220424_105511_SV1-04_SV_RD_8bit_RGB_50cm_Beuningen.zip,"[5.835949262477843, 51.85786305072515]",20220424_105511_SV1-04_SV_RD_8bit_RGB_50cm_Beuningen
20220424_105500_SV1-04,https://tiles1.geoserve.eu/SuperView1/tileserver/20220424_105500_SV1-04_SV_RD_8bit_RGB_50cm_Hattem/wmts,0.0,"[6.064306480068854, 52.52238629893465]",2022-04-24,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_04/20220424/20220424_105500_SV1-04_SV_RD_8bit_RGB_50cm_Hattem.zip,"[6.064306480068854, 52.52238629893465]",20220424_105500_SV1-04_SV_RD_8bit_RGB_50cm_Hatte
20220322_111229_SV1-04,https://tiles1.geoserve.eu/SuperView1/tileserver/20220322_111229_SV1-04_SV_RD_8bit_RGB_50cm_CapelleAanDenIJssel/wmts,0.0,"[4.628537972547863, 51.9125008551022]",2022-03-22,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_03/20220322/20220322_111229_SV1-04_SV_RD_8bit_RGB_50cm_CapelleAanDenIJssel.zip,"[4.628537972547863, 51.9125008551022]",20220322_111229_SV1-04_SV_RD_8bit_RGB_50cm_CapelleAanDenIJssel
20220322_111229_SV1-04,https://tiles1.geoserve.eu/SuperView1/tileserver/20220322_111229_SV1-04_SV_RD_8bit_RGB_50cm_CapelleAanDenIJssel/wmts,0.0,"[4.631082537940578, 51.91440925255675]",2022-03-22,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_03/20220322/20220322_111229_SV1-04_SV_RD_8bit_RGB_50cm_CapelleAanDenIJssel.zip,"[4.631082537940578, 51.91440925255675]",20220322_111229_SV1-04_SV_RD_8bit_RGB_50cm_CapelleAanDenIJssel
20220316_110548_SV1-04,https://tiles1.geoserve.eu/SuperView1/tileserver/20220316_110548_SV1-04_SV_RD_8bit_RGB_50cm_Hoogkarspel/wmts,0.0,"[5.116146233569659, 52.6962528454037]",2022-03-16,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_03/20220316/20220316_110548_SV1-04_SV_RD_8bit_RGB_50cm_Hoogkarspel.zip,"[5.116146233569659, 52.6962528454037]",20220316_110548_SV1-04_SV_RD_8bit_RGB_50cm_Hoogkarspel
20220303_101830_SV1-01,https://tiles1.geoserve.eu/SuperView1/tileserver/20220303_101830_SV1-01_SV_RD_8bit_RGB_50cm_Geldrop/wmts,0.0,"[5.666536835561017, 51.459321055057416]",2022-03-03,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_03/20220303/20220303_101830_SV1-01_SV_RD_8bit_RGB_50cm_Geldrop.zip,"[5.666536835561017, 51.459321055057416]",20220303_101830_SV1-01_SV_RD_8bit_RGB_50cm_Geldrop
20220303_101829_SV1-01,https://tiles1.geoserve.eu/SuperView1/tileserver/20220303_101829_SV1-01_SV_RD_8bit_RGB_50cm_Helmond/wmts,0.0,"[5.670239544721847, 51.510489795990544]",2022-03-03,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_03/20220303/20220303_101829_SV1-01_SV_RD_8bit_RGB_50cm_Helmond.zip,"[5.670239544721847, 51.510489795990544]",20220303_101829_SV1-01_SV_RD_8bit_RGB_50cm_Helmond
20220303_101830_SV1-01,https://tiles1.geoserve.eu/SuperView1/tileserver/20220303_101830_SV1-01_SV_RD_8bit_RGB_50cm_Geldrop/wmts,0.0,"[5.532588394795942, 51.44669211284067]",2022-03-03,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_03/20220303/20220303_101830_SV1-01_SV_RD_8bit_RGB_50cm_Geldrop.zip,"[5.532588394795942, 51.44669211284067]",20220303_101830_SV1-01_SV_RD_8bit_RGB_50cm_Geldrop
20220302_112114_SV1-04,https://tiles1.geoserve.eu/SuperView1/tileserver/20220302_112114_SV1-04_SV_RD_8bit_RGB_50cm_Zuidland/wmts,0.0,"[4.265602594026049, 51.839212676579386]",2022-03-02,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_03/20220302/20220302_112114_SV1-04_SV_RD_8bit_RGB_50cm_Zuidland.zip,"[4.265602594026049, 51.839212676579386]",20220302_112114_SV1-04_SV_RD_8bit_RGB_50cm_Zuidland
20210907_113722_SV1-02,https://tiles1.geoserve.eu/SuperView1/tileserver/20210907_113722_SV1-02_SV_RD_8bit_RGB_50cm_Sneekermeer/wmts,0.0,"[5.743820031171555, 53.103160285697115]",2021-09-07,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2021/2021_09/20210907/20210907_113722_SV1-02_SV_RD_8bit_RGB_50cm_Sneekermeer.zip,"[5.743820031171555, 53.103160285697115]",20210907_113722_SV1-02_SV_RD_8bit_RGB_50cm_Sneekermeer
